City_ID,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
155,Port Augusta,AU,2021-03-30 06:02:11,-32.5,137.7667,87.01,28,0,10.36
156,Rincon,US,2021-03-30 06:09:04,32.296,-81.2354,57.2,82,20,4.61
157,Alice Springs,AU,2021-03-30 06:01:29,-23.7,133.8833,87.01,28,0,18.41
158,Khatanga,RU,2021-03-30 06:09:04,71.9667,102.5,-15.9,91,38,14.97
159,Vanimo,PG,2021-03-30 06:09:05,-2.6741,141.3028,82.47,79,100,5.68
160,Sangar,RU,2021-03-30 06:09:05,63.9242,127.4739,26.96,86,73,2.17
161,Winnemucca,US,2021-03-30 06:04:57,40.973,-117.7357,33.8,25,1,9.22
162,Huntingdon,GB,2021-03-30 06:09:06,52.3305,-0.1865,43.0,86,6,7.45
163,Ayan,RU,2021-03-30 06:00:46,56.45,138.1667,29.35,96,100,14.47
164,Frontera,MX,2021-03-30 06:09:06,26.9333,-101.45,61.88,59,96,1.74
165,Airai,TL,2021-03-30 06:00:59,-8.9266,125.4092,62.53,90,100,3.74
166,Saskylakh,RU,2021-03-30 05:56:43,71.9167,114.0833,-16.1,95,96,7.52
167,Bathsheba,BB,2021-03-30 06:00:38,13.2167,-59.5167,77.0,69,75,24.16
168,Vestmanna,FO,2021-03-30 06:02:31,62.1564,-7.1664,35.6,87,75,2.3
169,Itarema,BR,2021-03-30 06:09:07,-2.9248,-39.9167,75.13,91,68,3.09
170,Saint-Pierre,RE,2021-03-30 06:03:07,-21.3393,55.4781,84.2,70,0,6.91
171,Batemans Bay,AU,2021-03-30 06:09:08,-35.7167,150.1833,66.99,60,94,1.99
172,Barra do Garças,BR,2021-03-30 06:08:08,-15.89,-52.2567,69.78,73,2,3.51
173,Luwingu,ZM,2021-03-30 06:09:08,-10.2621,29.9271,60.21,97,92,6.06
174,Waingapu,ID,2021-03-30 06:09:08,-9.6567,120.2641,81.66,82,98,13.67
175,Seoul,KR,2021-03-30 06:00:00,37.5683,126.9778,66.2,20,0,12.66
176,Ilulissat,GL,2021-03-30 05:55:41,69.2167,-51.1,19.4,49,75,25.32
177,Ābyek,IR,2021-03-30 06:09:09,36.0667,50.55,50.0,29,3,13.8
178,Pisco,PE,2021-03-30 05:56:33,-13.7,-76.2167,68.0,77,0,10.36
179,Nikolskoye,RU,2021-03-30 05:56:57,59.7035,30.7861,44.6,87,90,8.95
180,Kachīry,KZ,2021-03-30 06:09:09,53.0675,76.1036,24.66,88,94,8.7
181,Talara,PE,2021-03-30 06:09:10,-4.5772,-81.2719,73.83,71,96,10.89
182,Villa Unión,MX,2021-03-30 05:57:02,23.2,-106.2333,66.0,94,40,3.44
183,Provideniya,RU,2021-03-30 06:01:07,64.3833,-173.3,15.8,79,90,13.42
184,Ponta do Sol,PT,2021-03-30 05:55:52,32.6667,-17.1,66.2,48,20,9.22
185,Kondinskoye,RU,2021-03-30 06:02:38,59.6481,67.41,23.72,86,96,11.61
186,Norman Wells,CA,2021-03-30 05:57:36,65.282,-126.8329,8.6,52,75,3.44
187,Eureka,US,2021-03-30 06:09:11,40.8021,-124.1637,46.0,86,0,17.05
188,Kumul,CN,2021-03-30 05:59:16,42.8,93.45,59.36,26,100,7.34
189,Benton Harbor,US,2021-03-30 06:09:11,42.1167,-86.4542,50.0,51,3,1.01
190,Krasnosel'kup,RU,2021-03-30 06:09:12,65.7,82.4667,-0.63,84,66,11.36
191,Ambon City,ID,2021-03-30 06:02:25,-3.6954,128.1814,87.8,70,40,6.91
192,Storsteinnes,NO,2021-03-30 06:09:12,69.2408,19.2344,34.0,100,90,1.57
193,Abū Zabad,SD,2021-03-30 06:09:12,12.35,29.25,72.82,14,2,17.81
194,Labuhan,ID,2021-03-30 06:01:51,-6.8844,112.2051,86.07,67,80,6.91
195,Parczew,PL,2021-03-30 06:09:13,51.6402,22.9006,46.4,100,90,6.91
196,Athabasca,CA,2021-03-30 06:09:13,54.7169,-113.2854,15.8,61,54,6.91
197,Santa Fe,AR,2021-03-30 05:59:14,-31.6333,-60.7,63.0,89,24,3.87
198,Safaga,EG,2021-03-30 06:09:13,26.7292,33.9365,59.0,55,0,18.41
199,Barra de Tecoanapa,MX,2021-03-30 06:09:14,16.5167,-98.75,76.87,79,35,4.43
200,Bosaso,SO,2021-03-30 06:01:30,11.2842,49.1816,80.6,83,0,5.75
201,Pio IX,BR,2021-03-30 06:09:15,-6.8375,-40.5792,68.68,94,93,5.46
202,Inhambane,MZ,2021-03-30 06:09:15,-23.865,35.3833,73.4,64,20,5.75
203,Bāglung,NP,2021-03-30 06:09:16,28.2719,83.5898,84.2,15,13,7.63
204,San Luis,AR,2021-03-30 06:09:16,-33.295,-66.3356,58.77,39,0,6.69
205,Okhotsk,RU,2021-03-30 06:02:14,59.3833,143.3,28.65,74,99,4.65
206,Mar del Plata,AR,2021-03-30 06:00:18,-38.0023,-57.5575,61.0,100,75,6.31
207,Kaitangata,NZ,2021-03-30 06:01:02,-46.2817,169.8464,59.0,80,96,8.01
208,Cherskiy,RU,2021-03-30 06:00:55,68.75,161.3,6.48,90,93,6.35
209,Los Llanos de Aridane,ES,2021-03-30 06:01:37,28.6585,-17.9182,64.4,68,0,6.91
